Initial_position,Initial_velocity,Mass,Time,Position
577,98,4,63,26199.100000000002
316,26,28,5,568.5
548,69,76,37,9809.1
472,30,31,7,922.1
669,90,45,83,41895.100000000006
259,14,49,9,781.9000000000001
572,84,6,34,9092.400000000001
820,47,89,88,42901.600000000006
832,26,77,1,862.9
902,13,73,51,14309.900000000001
346,59,79,10,1426.0
654,61,96,61,22607.9
999,93,93,7,1890.1
57,36,10,69,25869.9
969,43,53,8,1626.6
470,85,35,49,16399.9
822,74,8,15,3034.5
968,5,99,10,1508.0
411,30,8,39,9033.900000000001
406,69,18,40,11006.0
193,6,51,87,37803.100000000006
944,40,84,40,10384.0
263,74,75,61,23009.9
71,33,15,41,9660.900000000001
590,77,67,59,22189.9
559,99,92,2,776.6
492,86,15,54,19424.4
734,18,6,59,18852.9
41,66,25,4,383.4
637,50,63,17,2903.1000000000004
131,95,46,8,1204.6
81,71,34,33,7760.1
101,39,27,77,32156.100000000002
598,29,67,45,11825.5
7,99,2,67,28636.100000000002
953,69,62,97,53750.100000000006
694,96,80,27,6858.1
815,29,44,93,45892.100000000006
694,96,35,92,50999.600000000006
165,31,4,7,622.1
53,71,51,11,1426.9
160,4,91,26,3576.4
636,17,88,24,3866.4
387,73,6,57,20468.1
152,13,75,51,13559.900000000001
668,93,51,82,41241.600000000006
965,36,52,45,12507.5
931,57,67,12,2320.6
863,14,63,15,2175.5
843,57,59,22,4468.6
526,43,74,83,37851.100000000006
700,35,34,99,52189.9
286,67,5,91,46959.9
908,51,88,65,24925.5
578,94,66,6,1318.4
93,59,13,84,39623.4
168,92,99,91,49116.9
736,17,89,7,1095.1
43,74,33,11,1449.9
999,4,72,21,3243.9
105,69,49,98,53926.600000000006
705,86,99,49,16683.9
895,55,77,24,5037.4
294,5,57,20,2354.0
553,80,97,49,16237.900000000001
451,91,84,97,55382.100000000006
846,98,26,57,22352.1
154,65,56,61,22351.9
874,18,2,93,44928.100000000006
17,5,62,98,47566.600000000006
859,22,88,70,26409.0
989,52,52,88,43510.600000000006
668,84,52,6,1348.4
118,45,50,83,37609.100000000006
769,17,1,85,37616.5
325,13,54,34,6431.400000000001
114,3,72,28,4039.6000000000004
112,23,71,17,1919.1000000000001
884,18,73,17,2606.1000000000004
8,16,24,75,28770.500000000004
591,10,47,55,15963.500000000002
205,75,33,41,11516.900000000001
2,3,73,20,2022.0000000000002
997,85,46,4,1415.4
339,90,97,20,4099.0
887,95,23,27,7024.1
254,5,72,51,13253.900000000001
487,15,47,58,17840.600000000002
124,27,24,89,41339.9
192,28,86,91,43316.9
590,31,76,35,7677.5
453,75,21,3,722.1
585,21,38,49,13378.900000000001
854,86,49,31,8228.900000000001
591,55,65,45,12988.5
380,71,84,59,21625.9
415,12,17,41,9143.900000000001
574,22,56,60,19534.0
460,56,10,87,42420.100000000006
241,61,5,99,54304.9
678,3,60,30,5178.0
837,98,15,49,17403.9
83,93,72,36,9781.400000000001
965,53,66,17,3282.1000000000004
850,37,92,68,26023.600000000002
497,83,93,61,23792.9
101,92,50,14,2349.4
977,4,64,89,40145.9
709,8,60,82,34312.600000000006
685,66,95,37,9835.1
214,92,73,57,21378.1
738,1,71,72,26211.600000000002
841,55,97,55,18688.5
140,33,15,47,12515.1
701,27,37,54,16447.4
188,13,73,90,41048.0
460,65,44,33,7941.1
432,6,93,64,20886.4
828,21,27,27,4967.1
73,97,90,80,39193.0
475,47,87,30,6295.0
638,15,10,38,8283.6
909,81,64,98,55906.600000000006
277,99,38,6,1047.4
470,33,5,30,5870.0
381,36,36,5,683.5
338,50,46,51,15632.900000000001
217,75,14,22,4238.6
323,40,1,74,30115.4
924,38,96,21,3882.9
28,91,31,79,37797.9
813,92,47,95,53775.5
713,63,91,28,6318.6
720,22,80,12,1689.6
197,23,75,87,39286.100000000006
116,59,98,95,49943.5
264,69,60,69,28353.9
638,52,56,53,17158.1
79,49,33,23,3798.1000000000004
87,46,35,94,47707.4
263,58,95,49,14869.900000000001
804,27,60,30,6024.0
26,79,96,59,21743.9
988,72,59,33,8700.1
840,36,26,5,1142.5
667,11,74,16,2097.4
891,51,54,67,26304.100000000002
490,40,69,94,47546.4
549,44,23,24,4427.4
545,83,5,34,9031.400000000001
362,42,38,50,14712.0
808,16,70,36,7734.400000000001
16,4,54,9,448.90000000000003
880,65,98,46,14238.400000000001
648,9,86,90,41148.0
548,65,47,91,47039.9
808,40,57,25,4870.5
874,54,85,83,39112.100000000006
797,2,64,75,28509.500000000004
86,3,13,59,17319.9
893,64,67,6,1453.4
10,36,42,2,101.6
643,59,25,59,21180.9
536,60,53,40,10776.0
240,59,88,25,4777.5
800,31,79,30,6140.0
111,57,46,29,5884.900000000001
107,63,14,16,2369.4
710,55,31,17,3061.1000000000004
21,76,2,42,11856.6
576,40,91,99,52560.9
654,13,73,72,26991.600000000002
132,59,73,84,39662.4
715,52,36,56,18993.4
610,80,29,97,54474.100000000006
721,24,72,77,31621.100000000002
99,36,25,18,2334.6000000000004
146,90,17,44,13592.400000000001
577,12,31,6,825.4
450,7,88,3,515.1
338,38,99,92,45307.600000000006
727,2,39,25,3839.5
62,5,56,54,14620.400000000001
968,99,63,17,4067.1000000000004
792,23,11,56,17446.4
93,20,30,88,39798.600000000006
813,85,22,5,1360.5
21,80,62,46,14069.400000000001
901,73,49,65,26348.5
11,43,18,7,552.1
624,46,98,53,16826.1
730,19,56,35,7397.5
618,6,38,8,979.6
355,26,32,73,28365.100000000002
650,27,30,34,7232.400000000001
485,59,5,83,39138.100000000006
729,44,25,79,34785.9
344,97,98,82,41245.600000000006
303,90,55,76,35445.4
700,47,80,83,38357.100000000006
232,97,80,23,5055.1
278,28,3,5,540.5
666,97,20,9,1935.9
483,8,47,3,551.1
993,79,13,18,4002.6000000000004
163,63,41,97,52378.100000000006
651,63,85,2,796.6
911,19,42,52,15148.6
710,3,61,25,3847.5
619,46,66,44,12129.400000000001
883,71,39,85,42320.5
909,68,18,59,21977.9
494,4,75,2,521.6
849,22,21,93,45275.100000000006
589,74,12,27,6159.1
567,47,2,64,23645.4
40,93,68,43,13099.1
245,89,35,57,21238.1
643,91,3,6,1365.4
144,71,22,20,3524.0
225,96,95,82,41044.600000000006
675,51,28,23,4440.1
354,64,28,47,14186.1
949,5,67,90,41089.0
150,13,53,91,41909.9
579,32,49,72,28284.600000000002
379,89,9,14,2585.4
54,38,6,80,34454.0
288,15,75,12,1173.6
136,15,87,11,893.9000000000001
574,31,53,72,28207.600000000002
460,29,95,16,2178.4
911,36,3,93,46639.100000000006
680,56,13,77,34044.100000000006
750,99,91,69,30909.9
951,30,40,81,35529.9
47,95,1,93,51262.100000000006
79,98,67,52,18424.6
582,36,99,18,2817.6000000000004
786,89,89,76,35852.4
860,28,12,44,11578.400000000001
211,82,66,21,4093.9
706,22,47,88,40587.600000000006
472,27,70,60,19732.0
925,7,68,8,1294.6
480,56,52,69,27672.9
718,27,50,53,15913.1
749,42,88,17,2879.1000000000004
676,40,2,33,7332.1
371,38,68,32,6604.6
359,25,93,96,47917.4
529,89,4,69,29998.9
661,3,52,56,16195.400000000001
523,17,24,74,28613.4
564,73,5,60,22584.0
171,64,31,49,15071.900000000001
903,28,81,60,20223.0
391,78,96,59,22049.9
849,91,77,57,21956.1
570,3,44,85,36227.5
259,97,9,63,25818.100000000002
722,69,29,3,973.1
953,49,71,17,3202.1000000000004
984,38,95,91,45018.9
432,97,85,22,4937.6
192,15,65,14,1362.4
198,97,29,94,52612.4
321,72,13,62,23620.600000000002
631,28,70,76,31061.4
729,14,8,94,45341.4
491,21,41,82,35160.600000000006
542,31,15,43,10935.1
629,52,14,13,2133.1
717,26,84,15,2209.5
237,45,41,27,5024.1
264,95,34,3,593.1
645,47,89,96,50315.4
448,5,6,31,5311.900000000001
343,48,89,62,22154.600000000002
839,6,54,55,15991.500000000002
332,77,47,34,8614.400000000001
478,20,44,30,5488.0
573,23,61,9,1176.9
744,11,40,21,3135.9
86,63,62,49,14937.900000000001
910,88,64,76,35900.4
438,14,96,2,485.6
236,75,70,44,13022.400000000001
174,68,18,94,49862.4
476,84,76,9,1628.9
327,85,65,67,28018.100000000002
366,84,9,99,56706.9
667,41,20,96,49761.4
95,48,51,74,30479.4
339,39,39,27,4964.1
492,80,11,48,15621.6
51,85,66,18,3168.6000000000004
432,72,79,37,9804.1
182,38,99,92,45151.600000000006
833,43,49,82,37306.600000000006
869,82,71,56,20827.4
465,45,59,21,3570.9
123,27,44,68,24616.600000000002
524,41,75,82,36833.600000000006
276,49,93,66,24854.4
178,41,67,7,705.1
969,71,53,77,35488.100000000006
319,9,74,82,34004.600000000006
83,66,71,78,35042.600000000006
472,39,82,71,27941.9
955,39,89,47,13612.1
282,4,49,16,1600.4
803,48,71,23,4499.1
264,47,61,70,27564.0
377,22,33,19,2563.9
234,34,54,48,13155.6
189,7,81,29,4512.900000000001
212,5,27,42,9065.6
547,73,64,46,14273.400000000001
416,29,27,32,6361.6
922,37,89,83,37749.100000000006
211,88,93,70,30381.0
114,66,99,88,43867.600000000006
435,10,3,68,23772.600000000002
646,23,17,90,42406.0
961,73,73,36,9939.400000000001
691,88,49,48,16204.6
394,95,52,44,14060.400000000001
930,81,91,8,1891.6
598,3,48,93,43257.100000000006
11,63,99,45,12768.5
777,99,27,96,55439.4
246,55,95,61,21833.9
805,85,83,35,9782.5
332,82,43,77,35698.100000000006
867,26,57,79,33501.9
527,29,45,67,24466.100000000002
5,34,56,49,13435.900000000001
131,37,29,28,5008.6
644,52,71,36,8866.400000000001
215,78,47,72,31232.600000000002
453,53,12,40,10413.0
83,43,29,12,1304.6
180,38,39,97,49970.100000000006
983,45,30,30,6743.0
585,41,42,95,48702.5
693,41,95,93,46886.100000000006
433,74,33,16,2871.4
428,18,56,38,8187.6
737,30,87,58,18960.600000000002
416,71,89,81,38315.9
929,31,61,63,22330.100000000002
940,82,48,37,10682.1
905,11,88,75,29292.500000000004
424,4,40,16,1742.4
766,34,39,22,3885.6000000000004
790,13,59,50,13690.0
219,20,93,38,8054.6
758,2,72,48,12143.6
813,14,6,57,17531.1
640,59,84,4,954.4
223,81,77,87,44358.100000000006
235,91,70,73,32990.100000000006
628,93,10,21,4741.9
618,48,84,47,13698.1
116,93,77,39,11195.900000000001
192,79,55,30,6972.0
522,30,38,69,25920.9
12,80,76,93,49832.100000000006
867,45,67,2,976.6
112,13,69,4,242.4
7,15,38,57,16782.1
987,51,41,43,12240.1
864,83,42,4,1274.4
99,71,71,17,2722.1000000000004
336,49,95,73,30025.100000000002
230,2,3,76,28684.4
996,81,81,37,10701.1
897,35,26,6,1283.4
256,59,27,68,26925.600000000002
184,69,64,71,29783.9
675,20,87,85,37777.5
392,40,75,76,31734.4
309,57,82,22,3934.6000000000004
621,89,65,65,27108.5
351,30,27,41,9817.900000000001
752,53,80,98,53005.600000000006
476,71,4,37,9811.1
881,83,33,1,968.9
439,10,3,76,29501.4
655,78,12,30,7405.0
838,53,36,92,47187.600000000006
425,76,82,32,7874.6
747,26,42,1,777.9
825,83,94,74,33799.4
35,11,61,28,4184.6
502,73,92,82,39435.600000000006
797,77,6,25,5784.5
956,80,5,90,47846.0
96,12,82,64,20934.4
778,51,53,11,1931.9
816,88,51,25,6078.5
168,74,34,92,48449.600000000006
62,93,24,83,41537.100000000006
819,95,65,88,47124.600000000006
898,97,86,35,10295.5
804,40,66,18,3111.6000000000004
966,30,16,83,37212.100000000006
876,71,34,56,20218.4
294,2,70,93,42860.100000000006
21,93,54,94,52059.4
845,33,66,12,1946.6
924,18,75,33,6854.1
622,37,42,8,1231.6
287,86,28,56,20469.4
704,74,34,2,871.6
245,97,33,49,16762.9
460,7,63,9,919.9000000000001
563,68,1,6,1147.4
839,20,35,74,29151.4
608,38,13,48,13721.6
745,34,73,62,21688.600000000002
802,35,14,41,10473.900000000001
619,90,97,8,1652.6
205,99,66,24,5403.4
862,81,84,98,55859.600000000006
388,52,18,88,42909.600000000006
239,64,13,3,475.1
332,97,93,11,1991.9
723,95,11,8,1796.6
126,10,45,93,43436.100000000006
265,60,8,51,16069.900000000001
828,60,56,39,10620.900000000001
873,96,72,23,5673.1
953,50,27,26,5565.4
83,88,60,54,19123.4
714,31,85,86,39620.4
520,31,3,14,1914.4
895,52,1,83,38967.100000000006
851,95,29,11,2488.9
710,7,25,32,5951.6
161,73,90,83,39976.100000000006
75,77,53,11,1514.9
188,69,59,87,43279.100000000006
694,44,64,47,13586.1
965,4,77,22,3424.6000000000004
240,7,97,27,4001.1000000000004
185,77,13,89,45850.9
554,8,95,60,18674.0
186,51,28,98,52243.600000000006
885,1,49,10,1385.0
597,34,25,14,2033.4
176,72,61,12,1745.6
525,80,8,57,21005.1
2,9,68,76,28988.4
466,33,12,26,4636.4
202,13,23,54,15192.400000000001
169,15,6,35,6696.5
318,56,23,25,4780.5
174,30,71,68,24871.600000000002
21,91,57,89,46932.9
567,64,36,63,24047.100000000002
946,63,77,68,27887.600000000002
340,11,75,18,2125.6000000000004
49,98,30,22,4576.6
72,34,27,64,22318.4
286,67,96,24,4716.4
174,34,1,98,50565.600000000006
588,71,94,89,45719.9
357,7,84,2,390.6
717,97,34,12,2586.6
606,4,77,25,3768.5
488,56,90,26,5256.4
10,75,46,19,3203.9
94,59,29,58,19999.600000000002
406,42,20,71,28088.9
316,46,41,29,5770.900000000001
562,99,48,86,45316.4
732,50,84,26,5344.4
128,11,16,78,30797.600000000002
690,52,66,2,813.6
999,21,78,33,7028.1
689,51,51,33,7708.1
542,77,78,96,53092.4
907,13,47,61,19932.9
435,65,4,64,24665.4
559,67,88,96,52149.4
117,70,90,53,17591.1
584,68,11,27,5992.1
26,43,66,69,26321.9
197,56,20,23,4077.1000000000004
666,11,7,17,2269.1000000000004
515,54,40,63,23365.100000000002
249,52,49,99,53421.9
846,20,82,98,49865.600000000006
257,23,16,37,7816.1
164,77,63,41,11557.900000000001
441,38,28,38,8960.6
131,25,80,76,30333.4
353,59,47,69,27752.9
665,23,21,65,22862.5
568,36,20,96,49182.4
945,18,27,13,2007.1
784,82,58,10,2094.0
810,31,76,87,40595.100000000006
369,8,94,36,7007.400000000001
762,93,35,74,34476.4
481,69,62,61,22922.9
508,37,84,91,44451.9
526,92,8,61,24370.9
51,41,21,63,22082.100000000002
540,28,69,42,10359.6
974,11,67,31,6023.900000000001
264,27,94,68,24757.600000000002
174,87,61,45,14011.5
363,98,74,69,30453.9
423,40,70,30,6033.0
19,47,70,31,6184.900000000001
502,81,76,3,789.1
936,22,68,41,10074.900000000001
849,80,95,76,35231.4
182,7,61,90,40502.0
27,49,23,22,3476.6000000000004
381,39,20,12,1554.6
638,76,77,55,19640.5
671,50,50,50,15421.0
912,39,72,42,11193.6
709,89,76,38,11166.6
738,57,41,50,15838.0
757,62,46,4,1083.4
28,56,34,43,11496.1
783,47,4,62,22532.600000000002
451,20,4,48,12700.6
845,34,85,50,14795.0
188,56,8,27,5272.1
840,84,92,67,28464.100000000002
273,88,94,32,8106.6
128,12,51,57,16732.1
666,41,50,61,21399.9
907,72,79,61,23531.9
640,80,13,87,44688.100000000006
486,21,67,29,5215.900000000001
994,2,24,87,38256.100000000006
190,5,7,96,45828.4
390,23,68,18,2391.6000000000004
901,93,20,57,22122.1
524,99,75,97,56231.100000000006
48,77,82,4,434.4
907,62,93,71,30009.9
66,5,28,98,47615.600000000006
331,88,79,30,7381.0
494,91,67,11,2087.9
347,12,2,40,8667.0
86,14,13,99,49496.9
897,69,29,43,12924.1
606,73,69,94,50764.4
598,43,64,35,8105.5
684,86,45,82,40683.600000000006
932,8,71,15,2154.5
813,45,20,38,9598.6
171,85,15,70,30131.0
386,38,28,95,48218.5
19,88,33,54,19059.4
174,34,54,61,20480.9
421,78,11,57,20787.1
743,27,96,44,11417.400000000001
995,59,29,83,39648.100000000006
58,71,60,65,25375.5
934,13,54,34,7040.400000000001
304,60,4,52,16673.6
677,31,66,99,51770.9
616,42,57,4,862.4
301,96,34,31,7985.900000000001
995,53,34,6,1489.4
608,93,23,74,34322.4
634,25,66,59,19165.9
927,46,5,67,26005.100000000002
340,48,87,98,52103.600000000006
192,89,34,98,55973.600000000006
777,69,63,33,8390.1
642,65,40,49,15591.900000000001
360,46,50,49,14378.900000000001
380,90,78,85,43432.5
533,99,75,73,33872.100000000006
603,71,16,65,25920.5
906,86,66,85,43618.5
870,17,99,98,49595.600000000006
262,76,41,50,16312.0
943,87,4,38,11324.6
599,50,38,1,653.9
874,17,36,27,4905.1
536,15,26,12,1421.6
732,4,20,13,1612.1
332,61,24,29,6221.900000000001
331,60,45,49,15035.900000000001
172,44,23,34,7332.400000000001
747,97,30,85,44394.5
877,16,73,93,44745.100000000006
771,50,14,60,21411.0
223,12,99,30,4993.0
599,95,79,42,13232.6
489,90,14,55,20261.5
824,70,97,65,26076.5
377,25,11,18,2414.6000000000004
71,17,18,96,46861.4
949,36,79,67,25357.100000000002
563,25,44,42,10256.6
16,41,2,16,1926.4
714,19,12,73,28213.100000000002
49,24,62,84,36639.4
499,82,43,8,1468.6
422,52,67,54,17518.4
222,90,37,56,20628.4
930,34,96,37,8896.1
718,11,77,86,37904.4
623,48,12,74,31007.4
565,28,4,4,755.4
167,60,60,61,22059.9
398,32,39,45,11760.5
77,53,21,28,5402.6
811,96,26,80,39851.0
91,50,89,83,37997.100000000006
470,41,70,89,42931.9
623,69,30,99,55478.9
276,98,14,50,17426.0
405,14,1,56,16555.4
913,20,47,15,2315.5
682,92,95,43,13698.1
272,71,66,43,12385.1
198,49,82,37,8719.1
556,20,58,18,2503.6000000000004
613,22,82,65,22745.5
926,21,12,54,16348.400000000001
448,26,68,52,15049.6
567,85,97,97,54916.100000000006
211,54,9,90,44761.0
909,32,57,94,47213.4
814,63,12,51,16771.9
740,59,45,80,36820.0
478,37,11,12,1627.6
313,76,81,11,1741.9
172,10,84,85,36424.5
536,87,92,73,32999.100000000006
455,10,27,53,14749.1
114,16,69,93,43982.100000000006
538,58,18,59,21016.9
847,43,21,1,894.9
441,83,66,82,40194.600000000006
981,41,39,76,32399.4
449,87,20,19,3870.9
123,37,65,14,1601.4
922,30,82,32,6899.6
242,21,24,32,5931.6
297,28,50,33,6557.1
472,57,3,95,50109.5
38,10,39,27,3880.1000000000004
17,59,9,16,2215.4
604,92,66,38,11175.6
42,43,15,93,46421.100000000006
365,47,69,47,13398.1
699,25,74,24,4121.4
490,50,84,31,6748.900000000001
227,20,69,17,1983.1000000000001
380,5,91,60,18320.0
370,99,19,42,13171.6
120,89,19,44,13522.400000000001
250,31,19,37,8105.1
936,83,81,90,48096.0
518,69,88,39,10661.900000000001
870,35,93,59,19991.9
979,5,25,20,3039.0
433,46,54,95,49025.5
604,95,47,33,9075.1
821,21,44,40,9501.0
931,93,30,37,11080.1
24,33,55,13,1281.1
254,72,56,13,2018.1
657,99,50,16,3495.4
394,17,4,35,6991.5
337,18,22,71,26315.9
68,49,77,70,27508.0
73,24,73,67,23677.100000000002
720,14,87,25,4132.5
200,60,23,76,33062.4
736,74,8,54,19020.4
395,8,14,78,30830.600000000002
203,13,96,3,286.1
251,65,94,32,7348.6
725,75,28,89,46212.9
492,3,33,59,17725.9
643,51,7,23,4408.1
197,75,37,13,2000.1
692,32,97,4,898.4
562,53,92,43,11901.1
943,24,65,25,4605.5
983,87,72,87,45640.100000000006
960,76,91,77,35864.100000000006
195,44,99,13,1595.1
715,26,79,49,13753.900000000001
471,71,9,48,15168.6
830,10,22,41,9476.900000000001
454,80,60,97,54318.100000000006
67,16,50,34,6275.400000000001
572,73,31,90,46832.0
845,13,20,42,10034.6
813,63,24,58,20950.600000000002
767,31,65,74,29893.4
610,66,66,4,952.4
167,39,41,42,10448.6
858,39,71,71,28327.9
147,6,78,6,359.4
225,6,85,24,3191.4
217,92,31,57,21381.1
953,96,9,38,11676.6
748,82,52,89,46858.9
977,87,47,24,5887.4
850,2,28,65,21682.5
529,64,4,6,1089.4
804,17,31,86,38506.4
816,30,12,26,4908.4
206,89,89,4,640.4
937,64,6,79,36573.9
499,38,56,33,7089.1
657,75,45,89,46144.9
701,61,4,22,4414.6
97,66,96,36,8823.400000000001
491,95,47,21,4646.9
653,12,9,21,3065.9
691,99,56,49,17306.9
943,28,67,85,38725.5
543,61,77,64,24517.4
536,13,24,34,6642.400000000001
538,55,93,39,10135.900000000001
417,1,80,95,44734.5
163,31,67,34,6881.400000000001
610,15,98,1,629.9
952,10,68,87,38910.100000000006
911,73,26,19,4066.9
973,15,78,65,22650.5
177,13,50,63,20444.100000000002
291,33,29,30,5691.0
404,76,31,79,36988.9
208,55,15,36,8538.400000000001
261,42,59,23,3819.1000000000004
196,76,55,34,8444.400000000001
232,40,57,89,42604.9
543,63,1,94,49761.4
53,9,77,22,2622.6000000000004
160,1,68,41,8437.900000000001
90,31,61,86,38996.4
548,2,8,76,29002.4
913,28,68,73,29069.100000000002
380,64,78,60,21860.0
221,5,24,7,496.1
542,32,9,75,30504.500000000004
900,38,98,61,21450.9
184,89,20,52,18061.6
627,1,69,68,23352.600000000002
940,80,7,71,31320.9
370,82,41,53,18480.1
401,2,52,54,14797.400000000001
556,39,42,76,31822.4
531,64,30,19,3515.9
83,59,68,40,10283.0
970,90,83,63,26088.100000000002
192,2,6,39,7722.900000000001
704,86,74,87,45274.100000000006
15,46,28,31,6149.900000000001
6,28,34,36,7364.400000000001
166,15,88,75,28853.500000000004
981,13,18,10,1601.0
583,86,5,95,52975.5
595,83,55,78,36880.600000000006
7,91,86,39,11008.900000000001
188,12,50,15,1470.5
854,55,85,85,40931.5
482,16,16,87,38962.100000000006
836,72,89,6,1444.4
129,17,9,67,23264.100000000002
782,38,94,27,5380.1
507,73,11,11,1902.9
763,20,12,24,4065.4
542,92,64,36,10204.400000000001
214,80,19,18,3241.6000000000004
375,37,25,21,3312.9
645,81,41,70,30325.0
737,28,10,31,6313.900000000001
486,5,29,67,22817.100000000002
575,30,12,53,15929.1
441,3,11,79,31258.9
679,85,35,52,18348.6
321,49,86,22,3770.6000000000004
886,37,45,5,1193.5
827,39,29,38,9384.6
719,63,84,64,24821.4
263,1,94,47,11134.1
764,56,53,4,1066.4
768,1,71,72,26241.600000000002
72,92,65,84,42374.4
437,78,47,47,14927.1
97,95,34,43,13242.1
649,95,89,25,6086.5
256,74,15,63,24366.100000000002
841,23,33,49,13732.900000000001
235,48,6,18,2686.6000000000004
512,51,67,97,51563.100000000006
427,44,8,58,19462.600000000002
924,24,61,28,5437.6
444,97,46,10,1904.0
663,71,64,30,7203.0
312,66,6,93,48830.100000000006
783,44,36,60,21063.0
114,80,82,58,21237.600000000002
944,67,36,59,21953.9
27,42,39,29,5365.900000000001
344,15,80,88,39609.600000000006
713,85,98,45,14460.5
796,71,21,20,4176.0
546,78,47,32,8059.6
991,58,73,84,40437.4
361,1,54,16,1631.4
593,93,94,5,1180.5
590,38,58,45,12222.5
746,19,41,12,1679.6
699,95,71,11,2336.9
339,25,15,36,7589.400000000001
257,59,64,69,27656.9
568,12,95,91,42236.9
698,98,56,27,6916.1
789,45,97,94,48315.4
449,96,49,99,57977.9
517,67,60,12,2026.6
368,51,55,20,3348.0
161,80,76,96,52999.4
597,1,6,29,4746.900000000001
302,57,94,74,31352.4
267,53,48,26,4957.4
112,83,66,18,3193.6000000000004
453,94,76,35,9745.5
413,84,64,20,4053.0
234,90,8,95,53006.5
671,58,3,76,33381.4
269,48,16,65,24091.5
50,69,43,7,773.1
316,77,1,49,15853.900000000001
801,94,49,55,20793.5
105,20,64,76,29927.4
184,40,33,74,29976.4
603,15,31,66,22937.4
828,25,26,24,4250.4
345,29,86,27,4700.1
917,57,83,16,3083.4
89,64,65,46,13401.400000000001
28,67,76,8,877.6
789,11,79,40,9069.0
2,61,10,64,23976.4
906,60,51,11,2158.9
798,60,4,53,17742.1
16,68,96,73,31092.100000000002
829,11,80,68,24234.600000000002
142,23,75,66,23004.4
919,67,97,18,3712.6000000000004
581,64,72,68,27590.600000000002
578,15,26,16,2072.4
779,23,80,8,1276.6
772,26,61,51,14842.900000000001
775,78,88,70,30245.0
364,49,37,80,35644.0
872,68,93,30,7322.0
605,7,76,59,18074.9
998,12,45,49,13350.900000000001
